,count,mean,std,min,25%,50%,75%,max
opk_dat_Mean,100000.0,0.4162833333293399,4.652626640554111,0.0,0.0,0.0,0.0,309.6666667
mou_opkv_Mean,100000.0,165.28070268342526,237.33291790394122,0.0,18.53666667,75.84166667,211.194999975,4337.893333
mou_opkd_Mean,100000.0,1.1358038666593302,17.768683140932684,0.0,0.0,0.0,0.0,2922.043333
drop_blk_Mean,100000.0,10.04429833331359,15.418405548334428,0.0,1.666666667,5.333333333,12.33333333,489.6666667
attempt_Mean,100000.0,145.75222500002386,159.3480938679588,0.0,38.33333333,101.0,199.6666667,2289.0
complete_Mean,100000.0,109.66697666659668,119.5943053273529,0.0,28.66666667,76.0,150.6666667,1894.333333
callfwdv_Mean,100000.0,0.011699999999689998,0.5474704421446388,0.0,0.0,0.0,0.0,81.33333333
callwait_Mean,100000.0,1.7829283333164803,5.353953174559036,0.0,0.0,0.333333333,1.333333333,212.6666667
churn,100000.0,0.49562,0.4999833151547703,0.0,0.0,0.0,1.0,1.0
months,100000.0,18.83399,9.655794272017722,6.0,11.0,16.0,24.0,61.0
Customer_ID,100000.0,1050000.5,28867.65779668774,1000001.0,1025000.75,1050000.5,1075000.25,1100000.0
uniqsubs,100000.0,1.54814,1.075255366013591,1.0,1.0,1.0,2.0,196.0
actvsubs,100000.0,1.35896,0.655554739072306,0.0,1.0,1.0,2.0,53.0
totcalls,100000.0,2877.14193,3790.8634744718383,0.0,889.0,1822.0,3492.0,98874.0
totmou,100000.0,7648.36383333699,8666.558292931599,0.0,2529.0,5191.5,9776.0,233419.0967
totrev,100000.0,1031.9249883,852.9075113402583,3.65,518.98,804.53,1263.7675,27321.5
adjrev,100000.0,960.1115285,840.1708152538963,2.4,452.18,737.76,1188.1750000000002,27071.3
adjmou,100000.0,7546.3146985,8594.889728717313,0.0,2474.0,5102.5,9661.0,232855.1
adjqty,100000.0,2836.36692,3756.5138823163147,0.0,868.0,1789.0,3442.0,98705.0
avgrev,100000.0,57.9138316,36.1612919520196,0.48,35.37,49.89,69.48,924.27
avgmou,100000.0,483.7264925,438.48521315133536,0.0,176.14,360.19,655.67,7040.13
avgqty,100000.0,173.55450679999998,167.82457574028595,0.0,64.09,127.5,228.57,3017.11
avg3mou,100000.0,519.64121,533.6340726686884,0.0,152.0,358.0,711.0,7716.0
avg3qty,100000.0,180.33732,192.72583482162344,0.0,55.0,125.0,240.0,3909.0
avg3rev,100000.0,59.19333,46.69542930675636,1.0,33.0,48.0,71.0,1593.0
avg6mou,97161.0,509.6345756013215,496.6634534037721,0.0,163.0,363.0,698.0,7217.0
avg6qty,97161.0,178.36515680159735,182.7245650973475,0.0,59.0,127.0,237.0,3256.0
avg6rev,97161.0,58.683617912536924,40.758577183010736,-2.0,34.0,50.0,71.0,866.0
hnd_price,99153.0,101.87576304442798,61.005670776940406,9.989997864,29.98999023,99.98999023,149.9899902,499.9899902
phones,99999.0,1.7871178711787117,1.3139772384406767,1.0,1.0,1.0,2.0,28.0
models,99999.0,1.5458254582545825,0.8983950637939284,1.0,1.0,1.0,2.0,16.0
truck,98268.0,0.18882036878739772,0.3913678522857495,0.0,0.0,0.0,0.0,1.0
rv,98268.0,0.08258029063377702,0.2752481738383903,0.0,0.0,0.0,0.0,1.0
lor,69810.0,6.177238218020341,4.735267042606558,0.0,2.0,5.0,9.0,15.0
adults,76981.0,2.5303256647744248,1.4528193299232353,1.0,1.0,2.0,3.0,6.0
income,74564.0,5.783112493964916,2.182131549108373,1.0,4.0,6.0,7.0,9.0
numbcars,50634.0,1.567563297389106,0.6254556683825333,1.0,1.0,1.0,2.0,3.0
forgntvl,98268.0,0.057974111613139576,0.23369567766287627,0.0,0.0,0.0,0.0,1.0
eqpdays,99999.0,391.93230932309325,256.48219250138885,-5.0,212.0,342.0,530.0,1823.0
cluster_broad,100000.0,0.81349,0.38951962358188263,0.0,1.0,1.0,1.0,1.0
dist_to_centroid,100000.0,6.147683864184221,2.121410674551887,2.6390135364881346,5.078007787407646,5.792681171238045,6.648742298825149,197.3121829481919
cluster_fine,100000.0,1.98698,2.0224122678410086,0.0,0.0,1.0,4.0,5.0
cluster_gmm,100000.0,0.64393,0.4788386450198852,0.0,0.0,1.0,1.0,1.0
gmm_confidence,100000.0,0.9869695760883225,0.058722896750399475,0.5000968865449835,0.9999932489901975,0.9999999959608168,0.9999999999986464,1.0
gmm_entropy,100000.0,0.03105304365335157,0.11527335316464386,-1.000000082690371e-10,-6.748142577372246e-11,8.190661685547354e-08,8.712708416962916e-05,0.6931471615859408
pca_1,100000.0,1.4551915228366853e-16,3.3794845292318967,-4.924381765006671,-2.227016087658157,-0.8598876434989389,1.2062472757458107,70.15003981223735
pca_2,100000.0,-3.637978807091713e-17,2.1963934280165005,-13.674893044360438,-1.5869815369080262,-0.6045212176114539,1.5058515577043659,5.050342588039981
pca_3,100000.0,-9.094947017729283e-18,1.9181981435893138,-3.6983173310895947,-0.8183035978654879,-0.41262515763347335,0.1298109404061066,13.678508622927524
pca_4,100000.0,7.275957614183426e-17,1.574540025938955,-40.807370935900444,-0.9041881830530946,-0.01981548287620483,0.9079396512492963,12.436852483970453
pca_5,100000.0,1.8189894035458566e-17,1.3884488429943587,-8.941139544463827,-0.9265029263480665,-0.01495635065612005,0.8320731049273747,99.65858820273853
